,Max RR,Min RR,Average RR,Max BPM,Min BPM,SDNN
0,0.8152717572524175,0.814271423807936,0.8147715905301768,73.68550368550369,73.59509202453987,0.0005001667222407358
1,0.9613204401467155,0.9303101033677894,0.9458152717572524,64.49462365591397,62.41415192507805,0.015505168389463031
2,0.976325441813938,0.9563187729243083,0.9663221073691232,62.74058577405856,61.454918032786885,0.010003334444814826
3,0.6102034011337112,0.6102034011337112,0.6102034011337112,98.32786885245903,98.32786885245903,0.0
4,0.9513171057019005,0.9213071023674559,0.9363121040346782,65.12486427795874,63.07045215562567,0.015005001667222295
5,0.966322107369123,-1.9416472157385796,-0.48766255418472826,-30.901597114889235,62.091097308488614,1.4539846615538514
6,0.9153051017005669,0.9013004334778261,0.9083027675891965,66.57047724750277,65.55191256830601,0.007002334111370412
7,0.8742914304768259,0.8742914304768256,0.8742914304768257,68.62700228832952,68.6270022883295,1.7554167342883506e-16
8,0.9553184394798264,0.9433144381460488,0.9493164388129376,63.60551431601272,62.8062827225131,0.006002000666888829
9,0.970323441147049,0.9493164388129376,0.9598199399799934,63.20337197049526,61.835051546391746,0.010503501167055729
10,0.8032677559186396,0.7882627542514171,0.7957652550850284,76.11675126903553,74.69489414694893,0.007502500833611259
11,0.952317439146382,0.7362454151383795,0.8302767589196399,81.4945652173913,63.004201680672274,0.09040712392953648
12,0.9673224408136045,0.9233077692564189,0.9453151050350117,64.98374864572047,62.0268872802482,0.022007335778592818
13,0.9253084361453818,0.9233077692564188,0.9243081027009004,64.98374864572047,64.84324324324325,0.001000333444481527
14,0.8582860953651218,0.8242747582527512,0.8379459819939981,72.7912621359223,69.9067599067599,0.01466397694384526
15,0.9043014338112705,0.8862954318106036,0.895298432810937,67.69751693002257,66.34955752212389,0.009003001000333466
16,0.8742914304768256,0.8062687562520843,0.840280093364455,74.41687344913149,68.62700228832952,0.03401133711237064
17,0.8552850950316773,0.8052684228076024,0.8302767589196398,74.50931677018636,70.15204678362572,0.025008336112037455
18,-2.2047349116372126,-2.2047349116372126,-2.2047349116372126,-27.214156079854806,-27.214156079854806,0.0
19,0.7792597532510837,0.7752584194731578,0.7772590863621207,77.39354838709677,76.99614890885752,0.002000666888962943
